,Gen,PV,Wind,P2H,Sto,re_fraction,ex_el_fraction,ex_heat_fraction,p2h_heat_fraction,total_co2,energy_cost,system_anpv,total_system_costs
0,1,229.64704219680522,58.69142996232406,235.7222147613137,279.90334400837247,0.41202044805829036,0.5879795519417097,0.5007476655391517,0.49925233446084827,173.57090262356442,15857.878822957278,71045.52601302121,86903.4048359785
1,1,265.3765991273792,248.6782880836487,45.898389181350076,379.7957034828285,0.8380811645537487,0.16191883544625135,0.7766625542221948,0.22333744577780523,89.29119440809853,220.6480249146279,130716.20055858698,130936.8485835016
2,1,40.93377153113033,165.62239512782733,277.76006309109806,165.67170781076106,0.41755128967075344,0.5824487103292466,0.19710562909015134,0.8028943709098486,169.85202379571825,15748.127106255313,69815.00924798024,85563.13635423555
3,1,179.96485339197622,231.3558457548527,163.25472110451247,94.81079209721108,0.7176512889997032,0.28234871100029685,0.6436122663751108,0.3563877336248892,108.18768283877394,4466.7937825246645,105113.88363753405,109580.67742005871
4,1,350.5556609184153,357.8426654015389,34.017684547911166,15.621913293152945,0.8198959883150384,0.1801040116849617,0.7727041029283095,0.2272958970716905,92.76672271817054,-8141.329799545513,161980.1275267327,153838.79772718716
5,1,67.93216782582756,351.2570013717652,39.33873353322004,168.44305000202087,0.7794764653035582,0.220523534696442,0.776855046869117,0.223144953130883,101.1734020976839,-1938.1544281983795,122690.17820948313,120752.02378128475
6,1,166.8088018810296,288.1297973768632,0.045749926937954655,120.9330290527359,0.7741309680795855,0.22586903192041446,0.9995886254957199,0.00041137450428008204,112.86469479265868,-960.8223095243741,117287.96436950206,116327.14205997769
7,1,7.952053535918235,10.484394751087711,11.322595208317843,98.48442704121835,0.05033853052320229,0.9496614694767975,0.9823594330796759,0.01764056692032412,242.13320521809763,21004.43643106408,13408.837460223554,34413.27389128764
8,1,227.24018476797684,81.31729386439619,100.93029782812937,297.5303416300372,0.5779783677565813,0.42202163224341877,0.897559464662544,0.102440535337456,145.1088724470503,10704.407917617042,75317.80237227857,86022.21028989562
9,1,19.981383578434865,214.35856236620464,265.5178580879155,205.95564482332344,0.49432198775166375,0.5056780122483362,0.2670507374906111,0.732949262509389,150.51017430857544,12201.717973913366,81726.42658823248,93928.14456214586
10,1,344.0111794731552,215.53242573666114,221.12879147430635,336.8123569438423,0.739016347530742,0.26098365246925814,0.47265576616660243,0.5273442338333976,96.06812418517865,3066.2137490520167,134833.98549863358,137900.1992476856
11,1,377.8379023963253,234.62201620079716,361.3607661151534,54.98988165849501,0.6017610639076072,0.39823893609239264,0.07830913668906064,0.9216908633109393,117.2849025209346,5260.4594405610505,139532.25777205915,144792.7172126202
12,1,353.32243648232395,249.46888282224356,300.3769736109349,139.559336791137,0.6271177787648791,0.3728822212351209,0.07825751696597251,0.9217424830340275,110.17815474357008,4593.573199365699,140741.00922665285,145334.58242601855
13,1,274.6003710726335,333.85026875894914,7.315310937676722,300.057725977987,0.8619373645911914,0.13806263540880873,0.9351191706709959,0.06488082932900407,93.55144319482113,-6189.618404776977,152976.1094132515,146786.49100847455
14,1,224.41208770228397,7.4589157491772085,320.25306907224655,93.18970953640817,0.21607470714778182,0.7839252928522183,0.10577580137106474,0.8942241986289352,224.96164768772115,23502.01712816681,51268.27569892581,74770.29282709262
15,1,78.17179244372751,232.5435709093031,388.00799563532496,338.7315205960141,0.5315663474377815,0.46843365256221847,0.08731104073219534,0.9126889592678047,137.14003466675456,10939.278573657735,104353.8859460795,115293.16451973724
16,1,361.3518082249015,229.47179466891436,1.148130812463588,246.85796544828955,0.8218818283250076,0.17811817167499253,0.9900809599866291,0.00991904001337085,103.87045048634513,-1359.8504986626451,134363.3816390025,133003.53114033985
17,1,49.66932604796446,111.6734716044558,234.30370858331514,387.83829932786983,0.3737986721722486,0.6262013278277514,0.5031698530171511,0.4968301469828489,182.49403726692182,15835.122665191318,62627.12734306988,78462.2500082612
18,1,363.41406036791966,249.3440463167211,6.328497138622513,371.77489349750454,0.8585109123850907,0.14148908761490914,0.9467158068096511,0.05328419319034894,94.8463585722147,-2649.6756258045575,144756.81159769598,142107.13597189143
19,1,320.29782747021466,387.304630287759,125.36967126369714,276.92904626772565,0.8774456754243326,0.12255432457566753,0.5128128215246771,0.4871871784753229,65.71988473161677,-8073.931388690008,176483.8357411774,168409.90435248739
20,1,158.70698969226797,215.52669360134277,167.67780576131793,274.08780015870377,0.7188775683168516,0.28112243168314854,0.6614235831122347,0.3385764168877653,108.66006327217202,5373.160587901366,103649.4972748822,109022.65786278357
21,1,55.71053890030342,322.95651548380954,159.07073479421342,66.14167884677312,0.7268794174226256,0.2731205825773745,0.5827757643571996,0.4172242356428004,103.60360345095374,1716.1290356128823,111386.98072248569,113103.10975809858
22,1,395.54443556259787,299.26626175193576,112.17759682576207,315.7117313805954,0.8662407503448144,0.13375924965518565,0.5885559369300615,0.4114440630699385,72.70139889682679,-4564.076478159268,163844.60865044495,159280.5321722857
23,1,58.70235632684522,36.935437907519116,74.50408455106836,138.2242908172191,0.21911296721167403,0.7808870327883259,0.9296643932185852,0.07033560678141482,212.53957854986453,17656.483540032725,31154.826432386344,48811.30997241907
24,1,322.84207824751167,155.1442576256687,345.4167418237715,298.84865709487383,0.5484668036342392,0.45153319636576084,0.0909850078449023,0.9090149921550977,132.504156702952,10988.668980207522,116356.39216251559,127345.06114272312
25,1,276.3587670067696,398.9291401805922,68.93620333813142,54.854299851551104,0.8387601136685284,0.16123988633147163,0.6372635580495396,0.3627364419504604,81.5130217378852,-8490.399820516775,164461.72637395718,155971.3265534404
